Wavelength (nm),Reflectance
614.0,0.07544509151414308
615.0,0.07503743760399335
616.0,0.07460066555740431
617.0,0.07430948419301163
618.0,0.07393094841930116
619.0,0.0735232945091514
620.0,0.07323211314475872
621.0,0.07305740432612312
622.0,0.07279534109816971
623.0,0.07270798668885191
624.0,0.07256239600665557
625.0,0.07250415973377702
626.0,0.07230033277870215
627.0,0.07221297836938435
628.0,0.07209650582362728
629.0,0.07230033277870215
630.0,0.07232945091514142
631.0,0.07209650582362728
632.0,0.07203826955074874
633.0,0.0719800332778702
634.0,0.0718926788685524
635.0,0.07168885191347751
636.0,0.0715432612312812
637.0,0.07122296173044924
638.0,0.07087354409317805
639.0,0.07058236272878535
640.0,0.07029118136439268
641.0,0.06997088186356074
642.0,0.06967970049916804
643.0,0.0691846921797005
644.0,0.06886439267886854
645.0,0.0686314475873544
646.0,0.06807820299500832
647.0,0.06807820299500832
648.0,0.0679034941763727
649.0,0.06729201331114808
650.0,0.06732113144758733
651.0,0.0670008319467554
652.0,0.0670008319467554
653.0,0.06670965058236271
654.0,0.06641846921797004
655.0,0.0663602329450915
656.0,0.06612728785357737
657.0,0.0660981697171381
658.0,0.06592346089850248
659.0,0.06542845257903493
660.0,0.06504991680532445
661.0,0.06487520798668885
662.0,0.06452579034941763
663.0,0.06458402662229616
664.0,0.06438019966722128
665.0,0.06429284525790349
666.0,0.06385607321131447
667.0,0.06391430948419301
668.0,0.06359400998336105
669.0,0.06379783693843594
670.0,0.06359400998336105
671.0,0.06359400998336105
672.0,0.06359400998336107
673.0,0.06341930116472545
674.0,0.06350665557404327
675.0,0.06347753743760398
676.0,0.06324459234608984
677.0,0.06347753743760398
678.0,0.06344841930116472
679.0,0.06344841930116472
680.0,0.0635648918469218
681.0,0.06388519134775372
682.0,0.06388519134775372
683.0,0.06391430948419301
684.0,0.06405990016638934
685.0,0.06420549084858568
686.0,0.06475873544093178
687.0,0.06531198003327787
688.0,0.06606905158069883
689.0,0.06735024958402662
690.0,0.06866056572379366
691.0,0.07020382695507486
692.0,0.07279534109816971
693.0,0.07588186356073211
694.0,0.07990016638935107
695.0,0.08485024958402661
696.0,0.09154742096505823
697.0,0.09862312811980031
698.0,0.10657237936772047
699.0,0.1158610648918469
700.0,0.12581946755407653
701.0,0.1368261231281198
702.0,0.1477454242928452
703.0,0.15985856905158066
704.0,0.1717970049916805
705.0,0.1843178036605657
706.0,0.1971297836938436
707.0,0.20994176372712148
708.0,0.22362728785357736
709.0,0.2381863560732113
710.0,0.2507071547420965
711.0,0.26555740432612307
712.0,0.280116472545757
713.0,0.2940931780366056
714.0,0.30836106489184695
715.0,0.3235024958402662
716.0,0.3383527454242928
